r,gtt,grr,phi,gtt_schw,grr_schw
1.000010000000000066e+00,1.015777286732620627e-05,9.908131687126067118e+04,4.731283984860673586e-01,9.999900001056438725e-06,1.000009999994355021e+05
1.000470650216652935e+00,4.976865668423115924e-04,2.186010883879089761e+03,4.731283984860673586e-01,4.704288092319819370e-04,2.125720152285297900e+03
1.000931512629805953e+00,9.972722351626432669e-04,1.079489805697907514e+03,4.731283984860673586e-01,9.306457215624286405e-04,1.074522749990334432e+03
1.001392587337206486e+00,1.485655567355616919e-03,6.888366845734973367e+02,4.731634587100565503e-01,1.390650734602982830e-03,7.190878163131953897e+02
1.001853874436646974e+00,1.954402483121897138e-03,4.925337155103673012e+02,4.732046542033823688e-01,1.850443945919155730e-03,5.404108577324552698e+02
1.002315374025964934e+00,2.403840994200185256e-03,3.798618288151407683e+02,4.732458686732314290e-01,2.310025453031716580e-03,4.328956629839653942e+02
1.002777086203042733e+00,2.838911258521225646e-03,3.110423972252306726e+02,4.732871021283450164e-01,2.769395353416026495e-03,3.610896504056411231e+02
1.003239011065808262e+00,3.266422536936789030e-03,2.675140661948880734e+02,4.733283545774687462e-01,3.228553744503259715e-03,3.097362098129974015e+02
1.003701148712233815e+00,3.693328411531246643e-03,2.392144822498641474e+02,4.733696260293520641e-01,3.687500723678960313e-03,2.711863874571164956e+02
1.004163499240337654e+00,4.125724565831822253e-03,2.201913858152266812e+02,4.734109164927485236e-01,4.146236388284818553e-03,2.411825825525765197e+02
1.004626062748182447e+00,4.568346478278490636e-03,2.067519405511488628e+02,4.734522259764156193e-01,4.604760835616561465e-03,2.171665447345873758e+02
1.005088839333876827e+00,5.024401422743620879e-03,1.965578278061746289e+02,4.734935544891151205e-01,5.063074162926173294e-03,1.975084637950584465e+02
1.005551829095573613e+00,5.495613387150203276e-03,1.881297398324664414e+02,4.735349020396125153e-01,5.521176467420008116e-03,1.811208183438647268e+02
1.006015032131472031e+00,5.982393515195701117e-03,1.805516680588596898e+02,4.735762686366775664e-01,5.979067846260566199e-03,1.672501509788721989e+02
1.006478448539815274e+00,6.484074565242315888e-03,1.732828694691258420e+02,4.736176542890839780e-01,6.436748396564384578e-03,1.553579444760882780e+02
1.006942078418892939e+00,6.999167382643827796e-03,1.660328520355462274e+02,4.736590590056094507e-01,6.894218215404590566e-03,1.450490786273022650e+02
1.007405921867039034e+00,7.525611884324446763e-03,1.586758029296522352e+02,4.737004827950358488e-01,7.351477399808792335e-03,1.360270794039317082e+02
1.007869978982633308e+00,8.061005672346188700e-03,1.511910416683031144e+02,4.737419256661490330e-01,7.808526046759967087e-03,1.280651423856023712e+02
1.008334249864100807e+00,8.602801018043185199e-03,1.436213406680871003e+02,4.737833876277388612e-01,8.265364253196905153e-03,1.209868034083575594e+02
1.008798734609911651e+00,9.148466299180665548e-03,1.360438642823841633e+02,4.738248686885992433e-01,8.721992116013099761e-03,1.146527062509096737e+02
1.009263433318581926e+00,9.695611589996605204e-03,1.285501858460503968e+02,4.738663688575282529e-01,9.178409732058412374e-03,1.089513357098444999e+02
1.009728346088672346e+00,1.024208043795595859e-02,1.212329029516369729e+02,4.739078881433279045e-01,9.634617198136963268e-03,1.037923956328404103e+02
1.010193473018789367e+00,1.078601125457828887e-02,1.141770633994451600e+02,4.739494265548043206e-01,1.009061461100901891e-02,9.910199116206304382e+01
1.010658814207584744e+00,1.132587246570497183e-02,1.074550861326767262e+02,4.739909841007675650e-01,1.054640206738999275e-02,9.481906659827150463e+01
