r,gtt,grr,phi,gtt_schw,grr_schw
1.000010000000000066e+00,9.986653539128278640e-06,9.999852067226919462e+04,7.079205090579271387e-01,9.999900001056438725e-06,1.000009999994355021e+05
1.000470650216652935e+00,4.697818016213034151e-04,2.125553994232436708e+03,7.079205090579271387e-01,4.704288092319819370e-04,2.125720152285297900e+03
1.000931512629805953e+00,9.293236250041256221e-04,1.074381357336399105e+03,7.079205090579271387e-01,9.306457215624286405e-04,1.074522749990334432e+03
1.001392587337206486e+00,1.388619513437194027e-03,7.189547458052323918e+02,7.079162121789794870e-01,1.390650734602982830e-03,7.190878163131953897e+02
1.001853874436646974e+00,1.847676544539578712e-03,5.402819325970373256e+02,7.079111633792894986e-01,1.850443945919155730e-03,5.404108577324552698e+02
1.002315374025964934e+00,2.306501492889692032e-03,4.327692021619442926e+02,7.079061122538921058e-01,2.310025453031716580e-03,4.328956629839653942e+02
1.002777086203042733e+00,2.765100838911911229e-03,3.609648107313923333e+02,7.079010588017159433e-01,2.769395353416026495e-03,3.610896504056411231e+02
1.003239011065808262e+00,3.223480777566517172e-03,3.096125086897447432e+02,7.078960030216893129e-01,3.228553744503259715e-03,3.097362098129974015e+02
1.003701148712233815e+00,3.681647226842015789e-03,2.710635230528399688e+02,7.078909449127397391e-01,3.687500723678960313e-03,2.711863874571164956e+02
1.004163499240337654e+00,4.139605836059294906e-03,2.410603536468286450e+02,7.078858844737944134e-01,4.146236388284818553e-03,2.411825825525765197e+02
1.004626062748182447e+00,4.597361993984018687e-03,2.170448105552150935e+02,7.078808217037801942e-01,4.604760835616561465e-03,2.171665447345873758e+02
1.005088839333876827e+00,5.054920836758915702e-03,1.973871220751260296e+02,7.078757566016231628e-01,5.063074162926173294e-03,1.975084637950584465e+02
1.005551829095573613e+00,5.512287255650957264e-03,1.809997925051283971e+02,7.078706891662490674e-01,5.521176467420008116e-03,1.811208183438647268e+02
1.006015032131472031e+00,5.969465904624494425e-03,1.671293822365746564e+02,7.078656193965829901e-01,5.979067846260566199e-03,1.672501509788721989e+02
1.006478448539815274e+00,6.426461207736156901e-03,1.552373867592001773e+02,7.078605472915499019e-01,6.436748396564384578e-03,1.553579444760882780e+02
