omega,lmax_eff,sigma_abs
1.000000000000000000e+00,7.000000000000000000e+00,2.109224480452898831e+01
1.020000000000000018e+00,7.000000000000000000e+00,2.134531895899601395e+01
1.040000000000000036e+00,7.000000000000000000e+00,2.149506133031801980e+01
1.060000000000000053e+00,7.000000000000000000e+00,2.154479384143628096e+01
1.080000000000000071e+00,7.000000000000000000e+00,2.147849289237300496e+01
1.100000000000000089e+00,7.000000000000000000e+00,2.130539321000616582e+01
1.120000000000000107e+00,7.000000000000000000e+00,2.108847428058880524e+01
1.140000000000000124e+00,7.000000000000000000e+00,2.080406451768475051e+01
1.160000000000000142e+00,7.000000000000000000e+00,2.049232490276942542e+01
1.180000000000000160e+00,7.000000000000000000e+00,2.017851191001338762e+01
1.200000000000000178e+00,7.000000000000000000e+00,1.988102653236624207e+01
1.220000000000000195e+00,7.000000000000000000e+00,1.962403378921708708e+01
1.240000000000000213e+00,7.000000000000000000e+00,1.942414552320576959e+01
1.260000000000000231e+00,7.000000000000000000e+00,1.929506040949203793e+01
1.280000000000000249e+00,7.000000000000000000e+00,1.924700853122173427e+01
1.300000000000000266e+00,7.000000000000000000e+00,1.928738047562632829e+01
1.320000000000000284e+00,8.000000000000000000e+00,1.941635135108269949e+01
1.340000000000000302e+00,8.000000000000000000e+00,1.961086217438964141e+01
1.360000000000000320e+00,8.000000000000000000e+00,1.985997575295368023e+01
1.380000000000000338e+00,8.000000000000000000e+00,2.012499875912809344e+01
1.400000000000000355e+00,8.000000000000000000e+00,2.039224836012503772e+01
1.420000000000000373e+00,8.000000000000000000e+00,2.061258240127152064e+01
1.440000000000000391e+00,8.000000000000000000e+00,2.076033140614573114e+01
1.460000000000000409e+00,8.000000000000000000e+00,2.084265763988468123e+01
1.480000000000000426e+00,8.000000000000000000e+00,2.084112457435698929e+01
1.500000000000000444e+00,8.000000000000000000e+00,2.076242308482219556e+01
1.520000000000000462e+00,8.000000000000000000e+00,2.062267098406696419e+01
1.540000000000000480e+00,8.000000000000000000e+00,2.045485064798436170e+01
1.560000000000000497e+00,8.000000000000000000e+00,2.022221924530176196e+01
1.580000000000000515e+00,8.000000000000000000e+00,1.999752327036381772e+01
1.600000000000000533e+00,8.000000000000000000e+00,1.977305126890860265e+01
1.620000000000000551e+00,8.000000000000000000e+00,1.958074884174972397e+01
1.640000000000000568e+00,8.000000000000000000e+00,1.942144576405820189e+01
1.660000000000000586e+00,8.000000000000000000e+00,1.930959115086696087e+01
1.680000000000000604e+00,8.000000000000000000e+00,1.925920471414536905e+01
1.700000000000000622e+00,9.000000000000000000e+00,1.927876386217961624e+01
1.720000000000000639e+00,9.000000000000000000e+00,1.935491585713087304e+01
