omega,lmax_eff_current
1.000000000000000000e+00,7.000000000000000000e+00
1.020000000000000018e+00,7.000000000000000000e+00
1.040000000000000036e+00,7.000000000000000000e+00
1.060000000000000053e+00,7.000000000000000000e+00
1.080000000000000071e+00,7.000000000000000000e+00
1.100000000000000089e+00,7.000000000000000000e+00
1.120000000000000107e+00,7.000000000000000000e+00
1.140000000000000124e+00,7.000000000000000000e+00
1.160000000000000142e+00,7.000000000000000000e+00
1.180000000000000160e+00,7.000000000000000000e+00
1.200000000000000178e+00,7.000000000000000000e+00
1.220000000000000195e+00,7.000000000000000000e+00
1.240000000000000213e+00,7.000000000000000000e+00
1.260000000000000231e+00,7.000000000000000000e+00
1.280000000000000249e+00,7.000000000000000000e+00
1.300000000000000266e+00,7.000000000000000000e+00
1.320000000000000284e+00,8.000000000000000000e+00
1.340000000000000302e+00,8.000000000000000000e+00
1.360000000000000320e+00,8.000000000000000000e+00
1.380000000000000338e+00,8.000000000000000000e+00
1.400000000000000355e+00,8.000000000000000000e+00
1.420000000000000373e+00,8.000000000000000000e+00
1.440000000000000391e+00,8.000000000000000000e+00
1.460000000000000409e+00,8.000000000000000000e+00
1.480000000000000426e+00,8.000000000000000000e+00
1.500000000000000444e+00,8.000000000000000000e+00
1.520000000000000462e+00,8.000000000000000000e+00
1.540000000000000480e+00,8.000000000000000000e+00
1.560000000000000497e+00,8.000000000000000000e+00
1.580000000000000515e+00,8.000000000000000000e+00
1.600000000000000533e+00,8.000000000000000000e+00
1.620000000000000551e+00,8.000000000000000000e+00
1.640000000000000568e+00,8.000000000000000000e+00
1.660000000000000586e+00,8.000000000000000000e+00
1.680000000000000604e+00,8.000000000000000000e+00
1.700000000000000622e+00,9.000000000000000000e+00
1.720000000000000639e+00,9.000000000000000000e+00
1.740000000000000657e+00,9.000000000000000000e+00
1.760000000000000675e+00,9.000000000000000000e+00
1.780000000000000693e+00,9.000000000000000000e+00
1.800000000000000711e+00,9.000000000000000000e+00
1.820000000000000728e+00,9.000000000000000000e+00
1.840000000000000746e+00,9.000000000000000000e+00
1.860000000000000764e+00,9.000000000000000000e+00
1.880000000000000782e+00,9.000000000000000000e+00
1.900000000000000799e+00,9.000000000000000000e+00
1.920000000000000817e+00,9.000000000000000000e+00
1.940000000000000835e+00,9.000000000000000000e+00
1.960000000000000853e+00,9.000000000000000000e+00
1.980000000000000870e+00,9.000000000000000000e+00
2.000000000000000888e+00,9.000000000000000000e+00
2.020000000000000906e+00,9.000000000000000000e+00
2.040000000000000924e+00,9.000000000000000000e+00
2.060000000000000941e+00,9.000000000000000000e+00
2.080000000000000959e+00,9.000000000000000000e+00
2.100000000000000977e+00,1.000000000000000000e+01
2.120000000000000995e+00,1.000000000000000000e+01
2.140000000000001013e+00,1.000000000000000000e+01
2.160000000000001030e+00,1.000000000000000000e+01
2.180000000000001048e+00,1.000000000000000000e+01
2.200000000000001066e+00,1.000000000000000000e+01
2.220000000000001084e+00,1.000000000000000000e+01
2.240000000000001101e+00,1.000000000000000000e+01
2.260000000000001119e+00,1.000000000000000000e+01
2.280000000000001137e+00,1.000000000000000000e+01
2.300000000000001155e+00,1.000000000000000000e+01
2.320000000000001172e+00,1.000000000000000000e+01
2.340000000000001190e+00,1.000000000000000000e+01
2.360000000000001208e+00,1.000000000000000000e+01
2.380000000000001226e+00,1.000000000000000000e+01
2.400000000000001243e+00,1.000000000000000000e+01
2.420000000000001261e+00,1.000000000000000000e+01
2.440000000000001279e+00,1.000000000000000000e+01
2.460000000000001297e+00,1.000000000000000000e+01
2.480000000000001315e+00,1.100000000000000000e+01
2.500000000000001332e+00,1.100000000000000000e+01
2.520000000000001350e+00,1.100000000000000000e+01
2.540000000000001368e+00,1.100000000000000000e+01
2.560000000000001386e+00,1.100000000000000000e+01
2.580000000000001403e+00,1.100000000000000000e+01
2.600000000000001421e+00,1.100000000000000000e+01
2.620000000000001439e+00,1.100000000000000000e+01
2.640000000000001457e+00,1.100000000000000000e+01
2.660000000000001474e+00,1.100000000000000000e+01
2.680000000000001492e+00,1.100000000000000000e+01
2.700000000000001510e+00,1.100000000000000000e+01
2.720000000000001528e+00,1.100000000000000000e+01
2.740000000000001545e+00,1.100000000000000000e+01
2.760000000000001563e+00,1.100000000000000000e+01
2.780000000000001581e+00,1.100000000000000000e+01
2.800000000000001599e+00,1.100000000000000000e+01
2.820000000000001616e+00,1.100000000000000000e+01
2.840000000000001634e+00,1.100000000000000000e+01
