theta_deg,log10_dsigma_dOmega
20.00000000,2.59065628
20.11436741,2.59065628
20.22873481,2.59065628
20.34310222,2.59065628
20.45746962,2.59065628
20.57183703,2.59065628
20.68620443,2.59065628
20.80057184,2.59065628
20.91493924,2.59065628
21.02930665,2.59065628
21.14367405,2.59065628
21.25804146,2.59065628
21.37240886,2.59065628
21.48677627,2.59065628
21.60114367,2.59065628
21.71551108,2.59065628
21.82987848,2.59065628
21.94424589,2.59065628
22.05861330,2.59065628
22.17298070,2.59065628
22.28734811,2.59065628
22.40171551,2.59065628
22.51608292,2.59065628
22.63045032,2.59065628
22.74481773,2.59065628
22.85918513,2.59065628
22.97355254,2.59065628
23.08791994,2.59065628
23.20228735,2.59065628
23.31665475,2.59065628
23.43102216,2.59065628
23.54538956,2.59065628
23.65975697,2.59065628
23.77412437,2.59065628
23.88849178,2.59065628
24.00285919,2.59065628
24.11722659,2.59065628
24.23159400,2.59065628
24.34596140,2.59065628
24.46032881,2.59065628
24.57469621,2.59065628
24.68906362,2.59065628
24.80343102,2.59065628
24.91779843,2.59065628
25.03216583,2.59065628
25.14653324,2.59065628
25.26090064,2.59065628
25.37526805,2.59065628
25.48963545,2.59065628
25.60400286,2.59065628
25.71837026,2.59065628
25.83273767,2.59065628
25.94710508,2.59065628
26.06147248,2.59065628
26.17583989,2.59065628
26.29020729,2.59065628
26.40457470,2.59065628
26.51894210,2.59065628
26.63330951,2.59065628
26.74767691,2.59065628
26.86204432,2.59065628
26.97641172,2.58798665
27.09077913,2.58531702
27.20514653,2.58264739
27.31951394,2.57908788
27.43388134,2.57196885
27.54824875,2.56395996
27.66261615,2.55239155
27.77698356,2.53904338
27.89135096,2.52569522
28.00571837,2.51412681
28.12008578,2.50522803
28.23445318,2.49988877
28.34882059,2.49543938
28.46318799,2.49098999
28.57755540,2.48743048
28.69192280,2.48476085
28.80629021,2.48120133
28.92065761,2.47764182
29.03502502,2.47497219
29.14939242,2.47230256
29.26375983,2.46874305
29.37812723,2.46607341
29.49249464,2.46340378
29.60686204,2.45984427
29.72122945,2.45717464
29.83559685,2.45539488
29.94996426,2.45361513
30.06433167,2.45272525
30.17869907,2.44827586
30.29306648,2.44331797
30.40743388,2.43785158
30.52180129,2.43187669
30.63616869,2.42539329
30.75053610,2.42285079
30.86490350,2.42030828
30.97927091,2.41776577
31.09363831,2.41424864
31.20800572,2.40975687
31.32237312,2.40429048
31.43674053,2.39755284
31.55110793,2.38918799
31.66547534,2.38017056
31.77984274,2.37050056
31.89421015,2.36017798
32.00857756,2.34949944
32.12294496,2.33917686
32.23731237,2.33010011
32.35167977,2.32226919
32.46604718,2.31568409
32.58041458,2.31123471
32.69478199,2.30856507
32.80914939,2.30589544
32.92351680,2.30233593
33.03788420,2.29788654
33.15225161,2.29254727
33.26661901,2.28542825
33.38098642,2.27919911
33.49535382,2.27385984
33.60972123,2.26921271
33.72408863,2.26436782
33.83845604,2.26021505
33.95282345,2.25497466
34.06719085,2.24953652
34.18155826,2.24409838
34.29592566,2.23866024
34.41029307,2.23322210
34.52466047,2.22778396
34.63902788,2.21898406
34.75339528,2.20949203
34.86776269,2.20019775
34.98213009,2.19110122
35.09649750,2.18220245
35.21086490,2.17686318
35.32523231,2.17241379
35.43959971,2.16707453
35.55396712,2.16173526
35.66833452,2.15639600
35.78270193,2.15105673
35.89706934,2.14571746
36.01143674,2.14126808
36.12580415,2.13592881
36.24017155,2.13058954
36.35453896,2.12525028
36.46890636,2.11991101
36.58327377,2.11457175
36.69764117,2.11012236
36.81200858,2.10567297
36.92637598,2.10122358
37.04074339,2.09766407
37.15511079,2.09410456
37.26947820,2.09054505
37.38384560,2.08787542
37.49821301,2.08520578
37.61258041,2.08253615
37.72694782,2.07986652
37.84131523,2.07808676
37.95568263,2.07541713
38.07005004,2.07363737
38.18441744,2.07185762
38.29878485,2.07096774
38.41315225,2.07007786
38.52751966,2.07007786
38.64188706,2.07007786
38.75625447,2.07007786
38.87062187,2.06978124
38.98498928,2.06918799
39.09935668,2.06829811
39.21372409,2.06711161
39.32809149,2.06562848
39.44245890,2.06414535
39.55682630,2.06206897
39.67119371,2.05939933
39.78556112,2.05524657
39.89992852,2.05139043
40.01429593,2.04694105
40.12866333,2.04338154
40.24303074,2.03982202
40.35739814,2.03804227
40.47176555,2.03537264
40.58613295,2.03270300
40.70050036,2.02914349
40.81486776,2.02558398
40.92923517,2.02113459
41.04360257,2.01668521
41.15796998,2.01223582
41.27233738,2.00778643
41.38670479,2.00333704
41.50107219,1.99888765
41.61543960,1.99354839
41.72980701,1.98820912
41.84417441,1.98286986
41.95854182,1.97664071
42.07290922,1.97041157
